"AID","GSWGT4_2"
"90575243",1663.851876309
"90575250",2710.959192573
"90575257",5803.870270523
"90575263",4038.548472868
"90575266",3434.514132501
"90575288",6069.251293899
"90575333",3773.114765636
"90575354",5277.724570086
"90575378",4922.783758345
"90575465",3999.239929178
"90575521",6755.424077839
"90575623",1939.366670177
"90575834",2973.684334116
"90575836",2884.171548062
"90575871",4250.579008371
"90575873",1043.126419489
"90575919",3364.911494364
"90575931",2884.171548062
"90575942",979.977465365
"90575943",827.462430145
"90575944",979.977465365
"90575946",1301.562245985
"90575948",1481.40356994
"90575950",5277.724570086
"90575975",5090.399626593
"90575978",4174.594837053
"90575982",2591.89752592
"90575991",1171.124294242
"90576057",5377.520913143
"90576104",4347.298526379
"90576117",3415.32498145
"90576119",4250.04940432
"90576142",1892.02602993
"90576148",2429.205765735
"90576245",1987.124977142
"90576248",2552.986225352
"90576285",4225.500655745
"90576336",3840.636472187
"90576412",4376.049076248
"90576445",1979.392827696
"90576481",3701.842886887
"90576485",8838.351866198
"90576522",2726.123244769
"90576531",4368.392975877
"90576687",3582.399650771
"90576754",824.751480697
"90576758",4429.782913434
"90576759",5273.330310448
"90576811",4376.049076248
"90576837",4068.151022217
"90576844",2552.986225352
"90576919",3920.398785187
"90576925",2549.074951168
"90576928",3437.787974474
"90576941",1752.16838065
"90576942",2132.117267701
"90576948",1752.16838065
"90576964",3423.944886611
"90577063",4979.960948419
"90577065",7602.128110419
"90577114",5635.626840695
"90577119",9189.667531692
"90577161",4979.960948419
"90577167",6625.699208226
"90577224",1567.021457977
"90577227",911.240064719
"90577229",1178.710865916
"90577255",2738.207921284
"90577256",3841.161988743
"90577259",3780.007715194
"90577260",5057.947244871
"90577267",4742.728493254
"90577322",1567.021457977
"90577326",1178.710865916
"90577411",6196.433911519
"90577516",5733.278771523
"90577712",5226.190618345
"90577782",4387.195855392
"90577817",5805.467214402
"90577852",3669.554882745
"90577920",2442.883125725
"90577928",2833.325160696
"90577929",676.604332874
"90577964",4979.960948419
"90578004",1294.718775299
"90578006",1294.718775299
"90578025",5848.743829295
"90578044",4780.90986381
"90578076",15969.414161398
"90578105",3214.27868692
"90578112",1190.657037458
"90578113",1372.417476225
"90578198",3622.709513559
"90578203",4170.075923238
"90578217",4312.69557553
"90578260",2881.918438467
"90578288",3808.427484354
"90578302",4170.075923238
"90578304",1537.577292016
"90578310",5912.868598827
"90578363",2664.06902776
"90578380",3808.427484354
"90578404",4409.737328779
"90578461",3240.064484038
"90578487",1296.934753223
"90578496",3357.80062339
"90578587",889.317073937
"90578618",3696.230405428
"90578620",6527.411822939
"90578661",2932.654197614
"90578805",5942.776572476
"90578806",1294.718775299
"90578813",4140.110644137
"90578846",5429.12651812
"90578873",15944.457474881
"90578880",3310.280748508
"90578901",862.681017398
"90578912",4284.837967091
"90578923",649.452855708
"90578927",6527.411822939
"90578981",4389.100415332
"90578985",1361.887795987
"90578986",1010.290261622
"90578988",1038.242070921
"90578999",3622.709513559
"90579230",6199.788911402
"90579233",3596.186905066
"90579270",6909.977318195
"90579272",8111.146142104
"90579296",3604.588041883
"90579944",3058.407891434
"90579965",3314.323902044
"90579966",2584.777547523
"90579967",2559.585568686
"90579973",10620.700249253
"90579978",6909.977318195
"90579985",5406.299589096
"90579990",2747.032226429
"90579992",4710.216599527
"90579993",3085.836433516
"90579997",3096.290531736
"90579999",4102.646346634
"90593900",4664.162098989
"90606920",4093.431588768
"90608879",5456.455535378
"90608976",4172.735059845
"90614371",4764.564022113
"90614876",3488.446363987
"90614978",3792.324253502
"90619260",4674.047022685
"90619265",8409.369613411
"90619360",8246.386927008
"90619464",7783.433943474
"90619961",6334.2198932
"90646128",538.691023942
"90676028",1014.07738821
"90676053",2384.162666555
"90676157",3885.321435907
"90676321",4190.178728486
"90676627",3635.822907624
"90676725",4547.360336602
"90676953",3162.962636757
"90678178",5279.218064377
"90678378",5830.824880745
"90678671",1295.509867838
"90678978",5677.164147371
"90710051",7010.575750214
"90710085",3657.674123376
"90710194",4994.188490377
"90710218",5679.845155688
"90710297",5171.612579033
"90710316",7635.801302012
"90710319",5253.334970991
"90710386",7478.636305068
"90710483",5142.518815819
"90710874",8507.792755054
"90710935",7180.221042996
"90710993",5171.612579033
"90711360",8167.476029576
"90712140",3522.853745729
"90712211",4012.498590669
"90712216",6585.212224997
"90712290",4084.086191062
"90712348",3522.853745729
"90712914",4031.119093256
"90712942",1586.861965624
"90712997",4084.086191062
"90713391",4681.555123211
"90713507",7444.678433454
"90713702",3655.250330246
"90713909",3755.547636963
"90713930",5351.881749885
"90713998",4590.584515173
"90714016",16795.624228468
"90714018",11866.940021872
"90714022",5645.220264178
"90714025",6248.017426489
"90714081",7364.999843075
"90714098",4597.607392948
"90714212",10432.400343845
"90714232",6014.930104822
"90714237",3988.496278742
"90714245",5110.189875222
"90714311",11157.93524421
"90714328",7683.40003043
"90714918",17896.171840529
"90714942",5813.606983314
"90715191",5130.763969422
"90715198",666.896096656
"90715266",7918.203020084
"90715294",2485.10259765
"90715353",3309.815917735
"90715983",5620.661594688
"90715987",2640.291758117
"90715988",4108.466884236
"90715993",3708.093606553
"90716050",4359.594101133
"90716064",3662.872606696
"90716091",1211.718457267
"90716151",4359.594101133
"90716154",3079.235544874
"90716290",3283.937651071
"90716332",8954.160467723
"90716352",3367.873734257
"90716390",4174.698120523
"90716951",3367.873734257
"90716952",4740.185110476
"90716969",3759.088660265
"90716973",528.003501169
"90716975",614.097691692
"90716976",600.482061025
"90716978",564.922530104
"90716979",600.482061025
"90716990",3283.937651071
"90716994",4174.698120523
"90717150",8147.610187725
"90717158",8147.610187725
"90717362",6437.575053449
"90718010",7507.691428904
"90718024",7348.244773392
"90718081",1089.337292942
"90718089",912.431468882
"90718112",7507.691428904
"90718113",4504.444930969
"90718115",4676.142139908
"90718147",6245.597549521
"90718178",8822.368418399
"90718183",992.010557903
"90718207",3719.215720867
"90718225",7745.44741732
"90718268",3029.599932743
"90718273",7126.521155147
"90718280",1388.492043921
"90718285",1388.492043921
"90718287",6646.163881525
"90718303",1663.053038246
"90718305",1241.077749125
"90718306",1366.623462195
"90718311",1144.233039205
"90718394",3994.285368769
"90718398",7101.696826582
"90718822",7745.44741732
"90718940",7165.265629246
"90718981",4635.990511589
"90718989",4635.990511589
"90719275",12675.52931184
"90719278",10256.701951449
"90719930",2072.366617087
"90719934",1719.580149535
"90719937",2669.988452842
"90719939",2072.366617087
"90719972",6622.634953524
"91374970",2943.506211089
"91374975",3220.495092144
"91374976",2943.506211089
"91500014",4770.706132637
"91500186",1221.404528254
"91500226",2182.55235519
"91500238",5422.243736725
"91500373",7758.904985794
"91500411",517.130410455
"91500833",4419.234403639
"91500870",4747.385302935
"91500977",6388.716015291
"91501350",8987.995847534
"91503239",538.169950513
"91504088",7273.634353257
"91504104",6879.196968851
"91504224",6141.80281832
"91504291",5968.207509184
"91504485",5976.0514921
"91504686",7146.468119381
"91504702",579.846122088
"91504703",987.893608204
"91504929",7506.209280606
"91506146",1998.872607263
"91506147",1987.124977142
"91506235",3545.079609385
"91506304",3089.523552737
"91506305",3740.947565138
"91506330",3545.079609385
"91506392",4389.085841811
"91506396",5194.727884381
"91506443",2242.433075458
"91506487",3582.399650771
"91506680",4567.963576869
"91506727",2726.123244769
"91506773",3223.737663551
"91506790",612.809534322
"91506894",5618.217476745
"91506902",3103.337827756
"91506935",3968.595457456
"91506946",2122.737338544
"91506955",4357.386215008
"91506993",517.481704139
"91507010",9189.667531692
"91507116",6598.048149301
"91507316",5635.626840695
"91507851",3780.007715194
"91507919",6061.556668933
"91508025",6632.792625614
"91508026",5848.743829295
"91508122",809.188108704
"91508123",4516.941172758
"91508169",5173.676807394
"91508381",4812.488772975
"91508387",4783.157012191
"91508439",3541.195782951
"91508522",1069.077452595
"91508526",6527.411822939
"91508665",6190.815041273
"91508766",3592.534326305
"91508836",3541.195782951
"91508862",3592.534326305
"91508873",15969.414161398
"91508948",7482.120839767
"91540058",4553.953841041
"91540130",4063.733441971
"91540453",4485.011516003
"91543707",3772.171135549
"91544201",881.762418106
"91544202",987.893608204
"91544302",1420.481037491
"91546074",4865.913605919
"91546574",4865.913605919
"91546924",3832.123673918
"91570095",4826.4225895
"91570110",4357.562125377
"91570181",874.29113153
"91570187",1215.919152648
"91570210",4937.838117418
"91570232",5083.713517758
"91570291",4284.10577755
"91570395",5811.425030093
"91570425",2674.517349187
"91570428",2099.0457047
"91570497",6229.449495076
"91570523",2863.440156166
"91570524",1907.798964179
"91570525",4571.574327132
"91570528",3535.315398754
"91570593",3633.134910841
"91570597",3996.540043252
"91570614",4357.562125377
"91570621",2863.440156166
"91570692",4826.4225895
"91570817",650.266195906
"91570823",3268.446278914
"91570829",3882.011417601
"91570921",4571.574327132
"91570928",2101.633723764
"91570986",5550.25190787
"91570993",4318.792263859
"91570997",4284.10577755
"91571013",3057.138811639
"91571014",5242.200602108
"91571074",2508.619386159
"91571116",4070.914865431
"91571155",8436.403233515
"91571214",2832.75585641
"91571218",3502.413796205
"91571310",3904.232460734
"91571467",8323.193746446
"91571505",2606.280745868
"91571560",5279.652864451
"91571601",1981.041183514
"91571605",2606.280745868
"91571610",2943.225406004
"91571677",1270.850716083
"91571703",2648.550871076
"91571706",1602.07213567
"91571707",2742.856249689
"91571756",8987.995847534
"91571807",1602.07213567
"91571812",3437.2878057
"91571817",3502.413796205
"91571857",8436.403233515
"91571876",1143.773308357
"91572001",8764.044847603
"91572040",4346.317560987
"91572063",3831.699531173
"91572076",4058.499341762
"91572117",4801.20426037
"91572122",1741.1316361
"91572128",4773.941671531
"91572129",2390.472550224
"91572145",5276.833116759
"91572183",1697.973055913
"91572185",1260.539022573
"91572190",3217.048192269
"91572195",2060.74931479
"91572204",8764.044847603
"91572214",3708.481674726
"91572221",2145.221573958
"91572222",2377.584325961
"91572282",930.104094756
"91572283",1417.190598897
"91572288",988.926006963
"91572289",868.87110363
"91572297",3523.187018405
"91572321",1318.833319765
"91572328",2340.973764421
"91572346",5209.41757891
"91572369",4192.364162881
"91572373",4992.355391146
"91572381",546.122214028
"91572385",1727.049598305
"91572387",1043.386113063
"91572389",1135.378314419
"91572396",3259.716936026
"91572408",5512.024760816
"91572442",5276.833116759
"91572462",7819.42904763
"91572471",4932.113233738
"91572900",6119.119572801
"91572918",3708.481674726
"91572921",1677.524720509
"91572964",4688.930165193
"91572981",1434.27283307
"91572989",1388.503812109
"91572999",2060.74931479
"91573010",2248.107155173
"91573016",2449.833051034
"91573017",2745.213270628
"91573031",665.638523585
"91573099",8853.835180774
"91573234",3906.236444293
"91573248",2639.681217307
"91573253",3082.740191979
"91573254",3108.017838016
"91573259",3537.46333291
"91573291",4320.873848054
"91573310",4022.828894407
"91573323",3531.384444582
"91573334",3906.236444293
"91573410",3564.588069724
"91573414",2745.213270628
"91573417",2712.154640363
"91573419",2013.534960142
"91573516",2456.849539505
"91573708",477.546092833
"91573811",3850.820386516
"91573902",3657.92642835
"91573940",2882.227623949
"91573944",3683.250446186
"91573948",3327.065121548
"91573951",4010.956023518
"91573955",3082.740191979
"91573956",3462.948817255
"91573958",3462.948817255
"91574118",8131.496611726
"91574121",6141.80281832
"91574143",5762.684790478
"91574231",4173.57406976
"91574308",981.844958966
"91574337",8559.854200479
"91574399",4568.827538069
"91574403",881.762418106
"91574430",8559.854200479
"91574504",766.996873362
"91574594",5597.866101256
"91574604",981.844958966
"91574632",4809.921091646
"91574688",6740.811685615
"91574694",6768.286358284
"91574696",5890.06796298
"91574796",996.139636087
"91574811",4361.162268589
"91574916",2883.48130128
"91574923",7273.718859902
"91574993",1227.276905972
"91575060",3999.239929178
"91575065",4357.831743421
"91575076",3505.666270536
"91575077",2680.381753954
"91575083",6069.251293899
"91575085",3780.8644559
"91575094",4005.016666004
"91575099",3226.451001941
"91575102",3701.959792002
"91575127",1956.5047413
"91575151",3764.460371288
"91575162",4694.584689827
"91575180",5855.802480728
"91575191",3119.379624113
"91575194",3119.379624113
"91575205",2822.974414463
"91575216",4487.559531185
"91575217",4339.81614199
"91575235",2957.510098894
"91575239",2957.510098894
"91575240",1278.733466592
"91575246",1337.122404463
"91575249",2001.082658905
"91575261",4694.584689827
"91575280",7477.831396256
"91575282",4401.613129498
"91575296",3922.805426346
"91575302",2973.486418421
"91575307",2822.974414463
"91575317",4339.81614199
"91575358",3764.460371288
"91575361",4897.420655559
"91575365",3999.239929178
"91575370",3505.666270536
"91575387",1847.408512311
"91575391",3119.379624113
"91575432",4095.963469221
"91575477",4250.579008371
"91575522",6949.349921637
"91575523",4312.417978583
"91575602",3184.294976179
"91575604",2973.486418421
"91575626",4182.083789062
"91575628",2985.590005419
"91575726",1560.652793741
"91575839",2923.563707383
"91575911",4339.81614199
"91575916",5146.448282806
"91575930",3554.072218672
"91575931",2884.171548062
"91575940",1298.830793499
"91575943",1406.874771684
"91575948",1481.40356994
"91575949",914.609410133
"91575956",5277.724570086
"91575961",3903.098651087
"91575966",5333.704798942
"91575992",2706.689291753
"91576088",5049.652212376
"91576114",5099.055708191
"91576129",3437.787974474
"91576138",3840.636472187
"91576154",4429.782913434
"91576163",3239.490342793
"91576219",4250.04940432
"91576243",1849.712392062
"91576270",4865.913605919
"91576274",4075.990426065
"91576300",4086.675020627
"91576363",3625.700111577
"91576460",3239.490342793
"91576509",3740.947565138
"91576537",3439.605970325
"91576556",4306.21536271
"91576561",3769.634057332
"91576566",2983.250314466
"91576576",4853.226688678
"91576611",3415.32498145
"91576651",1057.48331299
"91576674",6362.876621499
"91576748",2440.372146588
"91576757",4618.234505673
"91576765",3961.628466489
"91576910",3237.456884725
"91576919",3226.75880406
"91576934",3840.636472187
"91577121",3837.002631627
"91577126",1553.50002305
"91577183",3140.389887156
"91577221",3114.23619398
"91577227",2219.02152469
"91577256",4165.144441042
"91577268",5207.063626427
"91577311",6196.433911519
"91577313",5053.909863433
"91577319",6196.433911519
"91577414",5733.278771523
"91577557",3669.554882745
"91577588",4501.742367403
"91577589",5463.467451184
"91577613",5635.626840695
"91577786",4448.12647541
"91577922",1008.542366399
"91577923",926.676754943
"91577962",6625.699208226
"91578026",4516.941172758
"91578027",6632.792625614
"91578060",6773.543736731
"91578074",22943.499580505
"91578087",7393.020218429
"91578089",1296.934753223
"91578107",4254.983941928
"91578108",1537.577292016
"91578116",2645.791290931
"91578165",3369.363703949
"91578193",4113.49928429
"91578197",3685.426935803
"91578213",3949.416295731
"91578267",2097.690961752
"91578268",3369.363703949
"91578287",1038.242070921
"91578297",6454.957614084
"91578314",2645.791290931
"91578315",4018.953625263
"91578318",2645.791290931
"91578446",7482.120839767
"91578491",4113.49928429
"91578495",4113.49928429
"91578510",7502.454635668
"91578526",6524.17228455
"91578538",3541.195782951
"91578540",5429.12651812
"91578584",1289.431623203
"91578587",1026.165643233
"91578605",1213.275610322
"91578740",5429.12651812
"91578747",6295.281955443
"91578801",5942.776572476
"91578863",520.150059705
"91578892",4275.991640136
"91578898",4037.148535613
"91578917",6451.60244017
"91578999",6454.957614084
"91579175",6774.298422734
"91579230",3870.256995817
"91579234",2904.678053654
"91579237",3968.799496574
"91579241",3182.667424502
"91579242",2341.54217662
"91579243",2639.24638429
"91579245",2404.453528071
"91579246",3058.407891434
"91579258",9826.743037351
"91579272",3077.147183397
