"AID","ResidentMotherPresence","ResidentFatherPresence","ResidentBiologicalParents","ParentMarried","ParentPartnered","HouseholdSize","NumberSiblings","BirthOrder","ParentAge","MotherEducation","FatherEducation","MotherOccupationPrestige","FatherOccupationPrestige","MotherWorkForPay","FatherWorkForPay","FamilyIncome","PublicAssistance","Welfare","EconomicHardship","FamilySocialSupport","SharedDinner","IntergenerationalClosure","ParentConnectionFriends","MotherRelationshipQuality","FatherRelationshipQuality","MotherSharedActivity","FatherSharedActivity","ParentPartnerRelationship","ParentControl","MotherSupervision","FatherSupervision","MotherInvolveSchool","FatherInvolveSchool","ParentPTA","ParentFundRaise","ParentMetTeacher","MotherEducationExpectation","FatherEducationExpectation","MotherNativity","FatherNativity","ParentYearsInUS","ParentReligiosity","EnglishHome","ParentHealth","ParentSmoke","MotherAlcoholic","FatherAlcoholic","MotherObese","FatherObese","MotherDisable","FatherDisable","SmokerHousehold","DrugHousehold","FamilyAccessMedicalCare","ParentPreviousRelationship","NonresidentBioFatherDeceased","YearsLiveStepfather","BornToAdolescentParent","Sex","Age","Latinx","Black","NativeAmerican","AAPI","OtherRace","EmotionalAbuse","PhysicalAbuse","BioMotherIncarceration","BioFatherIncarceration","EducationAttainment"
"92573232",1,0,0,0,0,1,0,1,49,13,13.36908,4,3.347201,1,0.929593,2.77258872223978,0,0,0,3.5,3,3,3,4.8,4.243704,3,2.910392,-0.0005413742,0,2,1.100092,2,1.068472,0,NA,NA,5,4.363035,1,0.8700154,49,4,1,4,0,0,0.06048632,0,0.1127865,0,0.05724351,0,0,3,1,1,7.569198,0,0,15.0833333333333,0,1,0,0,0,0,0,0,0,12
"92573311",1,1,1,1,1,2,0,3,41,12,8,4,3,1,0,3.04452243772342,0,0,1,3.25,5,2,6,4.8,3.4,1,0,-0.52977612694033,0,2,3,1,0,0,0,1,3,3,1,1,41,2.5,1,4,0,0,1,0,0,0,1,0,0,4,1,0.7259314,7.569198,0,0,18.25,0,0,0,0,0,0,0,0,0,13
"92573316",1,1,1,1,1,2,0,1,45,13,NA,4,5,1,1,3.93182563272433,0,0,0,4.5,7,1,3,5,4.6,1,0,0.532608135940035,4,1,2,0,0,0,NA,NA,2.5,2.5,1,1,45,2.5,1,4,1,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,0,15.3333333333333,0,0,0,0,0,5,0,0,0,16
"92573497",1,1,1,1,1,3,1,1,37,12,12,2,5,0,1,3.66356164612965,0,0,0,4,7,3,6,4.8,4.8,4,2,0.332182234756965,2,3,0,0,0,0,NA,NA,5,4.5,1,1,37,3.5,1,3,0,0,0,0,0,0,0,0,0,4,1,0.7259314,7.569198,0,1,16.1666666666667,0,0,0,0,0,2,0,0,0,14
"92573531",1,1,1,1,1,3,1,1,43,14,16,4,2,1,1,NA,0,0,0,5,7,1,5,4.4,4.4,4,5,0.332182234756965,2,2,2,2,2,0,0,1,2.5,3,1,1,43,4,1,4,0,0,0,0,0,0,0,0,0,4,1,0.7259314,7.569198,0,0,17.9166666666667,0,0,0,0,0,0,0,0,0,14
"92573610",1,1,1,1,1,2,0,2,38,16,12,4,3,1,1,4.11087386417331,0,0,0,4.5,6,4,3,5,5,4,2,-0.0686695676091736,2,1,2,2,1,0,0,1,1.5,1,1,1,38,3,1,3,0,0,0,0,0,0,0,1,0,4,1,0.7259314,7.569198,0,0,14.5,0,0,0,0,0,1,0,0,0,10
"92573690",1,0,0,0,0,3,2,1,37,12,13.36908,3,3.347201,1,0.929593,2.39789527279837,0,0,0,3.5,2,2,3,5,4.243704,3,2.910392,-0.0005413742,0,2,1.100092,0,1.068472,0,NA,NA,3,4.363035,1,0.8700154,37,3,1,4,1,0,0.06048632,0,0.1127865,0,0.05724351,1,0,4,1,1,7.569198,0,0,18.1666666666667,0,0,0,0,0,0,0,0,6,12
"92573691",1,1,1,1,1,3,1,2,47,12,12,2,5,1,1,NA,0,0,0,3.75,7,4,3,4,4.6,3,2,0.332182234756965,1,2,2,0,0,0,NA,NA,4.5,4.5,1,1,47,3,1,3,0,0,0,1,1,1,0,1,0,4,1,0.7259314,7.569198,0,1,18.5833333333333,0,0,0,0,0,3,5,0,0,16
"92573693",1,0,0,0,0,3,2,2,37,12,13.36908,3,3.347201,1,0.929593,2.39789527279837,0,0,0,4.25,7,1,6,4.4,4.243704,2,2.910392,-0.0005413742,1,1,1.100092,1,1.068472,0,NA,NA,3,4.363035,1,0.8700154,37,3,1,3,1,0,0.06048632,0,0.1127865,0,0.05724351,1,0,4,1,1,7.569198,0,0,17.1666666666667,0,0,0,0,0,0,0,0,8,12
"92573697",1,1,1,1,1,3,1,1,36,12,12,4,3,1,1,3.25809653802148,0,0,0,4.25,5,2,3,4.2,4,5,3,0.131756333573896,2,2,2,2,1,1,0,1,4.5,4,1,1,36,2.5,1,4,1,0,0,0,0,0,0,1,0,4,NA,0.7259314,7.569198,0,0,15.75,0,0,0,0,0,2,0,0,0,12
